,Город,Широта,Долгота,Население
506,Москва,55.7538789,37.6203735,11514330
782,Санкт-Петербург,59.939125,30.315822499999996,4848742
643,Новосибирск,55.02810160000001,82.92105749999999,1498921
828,Екатеринбург,56.8386326,60.6054887,1377738
615,Нижний Новгород,56.3242093,44.0053948,1250615
924,Казань,55.794387699999994,49.1115312,1216965
778,Самара,53.195165700000004,50.1067691,1164900
652,Омск,54.9848136,73.3674638,1154000
1060,Челябинск,55.160365899999995,61.4007858,1130273
753,Ростов-на-Дону,47.2224364,39.7187866,1091544
62,Уфа,54.734853,55.9578647,1062300
121,Волгоград,48.7072005,44.5170207,1021244
702,Пермь,58.0103211,56.23417779999999,1000679
410,Красноярск,56.009466,92.85241620000001,973826
159,Воронеж,51.6592378,39.1968284,889680
797,Саратов,51.530376000000004,45.953025700000005,836900
380,Краснодар,45.040234999999996,38.976080100000004,744933
780,Тольятти,53.520643799999995,49.389461,719484
4,Барнаул,53.3481145,83.7798362,635585
995,Ижевск,56.8527444,53.2113961,628117
1004,Ульяновск,54.3080674,48.3748717,613793
713,Владивосток,43.1163807,131.882348,592069
1111,Ярославль,57.6216145,39.897878000000006,591486
222,Иркутск,52.2863513,104.28065500000001,587225
991,Тюмень,57.1530824,65.5343118,581758
177,Махачкала,42.98485720000001,47.504630299999995,577990
1011,Хабаровск,48.4647991,135.0598811,577668
662,Оренбург,51.7875191,55.101737899999996,570329
321,Новокузнецк,53.7942757,87.2144046,547885
315,Кемерово,55.3909721,86.0467864,532884
